1,女性,10代,長野県,1,\510,2,27,
2,男性,60代,佐賀県,1,\610,1,30,
3,女性,30代,宮城県,1,\410,3,15,
4,女性,60代,東京都,1,\410,1,10,
5,男性,30代,愛媛県,1,\510,3,24,
6,女性,30代,宮崎県,1,\610,2,23,
7,男性,30代,京都府,1,\510,1,30,
8,男性,70代,茨城県,1,\610,1,24,
9,女性,60代,大分県,1,\310,1,18,
10,男性,60代,山口県,1,\810,3,14,
11,女性,20代,高知県,1,\810,1,26,
12,男性,30代,神奈川県,1,\610,3,26,
13,男性,50代,熊本県,1,\610,3,25,
14,女性,50代,兵庫県,1,\510,1,15,
15,男性,50代,佐賀県,1,\810,1,20,
16,男性,50代,岩手県,1,\510,2,7,
17,男性,30代,滋賀県,1,\510,2,24,
18,男性,20代,青森県,1,\510,1,19,
19,男性,20代,兵庫県,1,\810,1,7,
20,女性,60代,石川県,1,\410,2,14,
21,男性,20代,島根県,1,\810,1,30,
22,女性,60代,香川県,1,\410,2,23,
23,女性,30代,宮城県,1,\310,2,29,
24,男性,70代,山梨県,1,\610,3,28,
25,男性,60代,埼玉県,1,\410,3,27,
26,男性,60代,三重県,1,\710,2,29,
27,男性,60代,広島県,1,\710,1,12,
28,女性,50代,東京都,1,\610,3,16,
29,女性,20代,三重県,1,\510,3,25,
30,女性,60代,神奈川県,1,\610,2,12,
31,男性,60代,滋賀県,1,\510,1,22,
32,男性,20代,大阪府,1,\310,2,11,
33,男性,70代,徳島県,1,\510,2,8,
34,女性,50代,沖縄県,1,\810,1,16,
35,男性,20代,福井県,1,\310,2,22,
36,女性,40代,青森県,1,\610,3,19,
37,女性,60代,佐賀県,1,\710,3,11,
38,男性,70代,大阪府,1,\310,1,29,
39,女性,60代,島根県,1,\610,3,23,
40,男性,40代,長野県,1,\810,1,28,
41,男性,20代,広島県,1,\310,2,8,
42,男性,50代,長崎県,1,\410,1,12,
43,女性,30代,鳥取県,1,\410,2,7,
44,女性,20代,福岡県,1,\410,3,13,
45,男性,20代,群馬県,1,\810,1,26,
46,男性,50代,岩手県,1,\810,3,11,
47,男性,20代,富山県,1,\310,2,13,
48,男性,40代,山梨県,1,\610,2,9,
49,女性,30代,秋田県,1,\810,1,13,
50,男性,30代,島根県,1,\310,2,17,
51,男性,30代,香川県,1,\510,3,29,
52,男性,70代,栃木県,1,\710,2,9,
53,女性,60代,長崎県,1,\310,3,13,
54,女性,60代,岐阜県,1,\710,2,7,
55,男性,50代,香川県,1,\310,1,10,
56,女性,50代,広島県,1,\810,3,23,
57,女性,60代,大分県,1,\510,1,25,
58,女性,60代,茨城県,1,\410,1,23,
59,女性,30代,岐阜県,1,\610,2,24,
60,女性,40代,秋田県,1,\710,3,13,
61,男性,60代,和歌山県,1,\710,1,7,
62,女性,60代,宮城県,1,\410,2,23,
63,女性,10代,島根県,1,\510,3,17,
64,女性,20代,滋賀県,1,\810,1,30,
65,女性,20代,山形県,1,\710,1,24,
66,男性,60代,愛媛県,1,\810,2,27,
67,女性,40代,熊本県,1,\310,1,24,
68,女性,70代,愛媛県,1,\410,3,26,
69,男性,40代,東京都,1,\510,1,13,
70,女性,40代,静岡県,1,\610,1,25,
71,女性,10代,和歌山県,1,\810,3,25,
72,女性,50代,宮城県,1,\310,2,21,
73,男性,30代,愛媛県,1,\510,3,18,
74,男性,40代,福島県,1,\610,1,19,
75,男性,20代,千葉県,1,\710,1,22,
76,女性,60代,広島県,1,\410,3,9,
